date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:32	77/77	---M--	200	added ('OK')	application/javascript	etag:%22b6652df95db52feb4daf4eca35380933%22	https://tapsi-react.vercel.app/_next/static/dKwKDzVRCW7tER8YNQ0fQ/_ssgManifest.js	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/dKwKDzVRCW7tER8YNQ0fQ/_ssgManifest.js	(from https://tapsi-react.vercel.app/index-01-dark)
18:13:32	5771/5771	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2287e3ff38d102d30a6efd1e81100734ad%22	https://tapsi-react.vercel.app/assets/img/logo.svg	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/assets/img/logo.svg	(from https://tapsi-react.vercel.app/index-01-dark)
18:13:32	5771/5771	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222ed4138dbac3754e2a75e952b4ade3e0%22	https://tapsi-react.vercel.app/assets/img/logo-light.svg	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/assets/img/logo-light.svg	(from https://tapsi-react.vercel.app/index-01-dark)
18:13:33	16837/16837	---M--	200	added ('OK')	image/jpeg	etag:%22027be2e22bb78b6da375f82df8eda42a%22	https://tapsi-react.vercel.app/assets/img/mask.jpg	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/assets/img/mask.jpg	(from https://tapsi-react.vercel.app/index-01-dark)
18:13:33	146495/146495	---M--	200	added ('OK')	image/jpeg	etag:%220dadf0e1a512cd8ef4809d183763319c%22	https://tapsi-react.vercel.app/assets/img/about-banner.jpg	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/assets/img/about-banner.jpg	(from https://tapsi-react.vercel.app/index-01-dark)
18:13:33	87405/87405	---M--	200	added ('OK')	image/jpeg	etag:%22c139f87541b4322bf96113e87b80f40b%22	https://tapsi-react.vercel.app/assets/img/project-1.jpg	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/assets/img/project-1.jpg	(from https://tapsi-react.vercel.app/index-01-dark)
18:13:33	39020/39020	---M--	200	added ('OK')	image/jpeg	etag:%228b847cfadb69a44818fb6ce912029333%22	https://tapsi-react.vercel.app/assets/img/project-2.jpg	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/assets/img/project-2.jpg	(from https://tapsi-react.vercel.app/index-01-dark)
18:13:34	115991/115991	---M--	200	added ('OK')	image/jpeg	etag:%22f52b50c3fa94b1fd487c9f8abfce121b%22	https://tapsi-react.vercel.app/assets/img/home-banner.jpg	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/assets/img/home-banner.jpg	(from https://tapsi-react.vercel.app/index-01-dark)
18:13:34	49601/49601	---M--	200	added ('OK')	image/jpeg	etag:%22ced497eb9dc2c7f70224e40b287a8dc6%22	https://tapsi-react.vercel.app/assets/img/project-3.jpg	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/assets/img/project-3.jpg	(from https://tapsi-react.vercel.app/index-01-dark)
18:13:34	41601/41601	---M--	200	added ('OK')	image/jpeg	etag:%2215017ee5f27c4a08513c0a245f71f5e7%22	https://tapsi-react.vercel.app/assets/img/project-5.jpg	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/assets/img/project-5.jpg	(from https://tapsi-react.vercel.app/index-01-dark)
